atmosphere_bottom_air__temperature,snowpack__depth,atmosphere_bottom_air__temperature_amplitude
-7.3655,0.22301,23.056
-4.8944,0.31038,19.798
-5.5227,0.26147,19.583
-7.6666,0.21666,24.042
-7.2235,0.25023,21.76
-7.658,0.45369,25.195
-5.2771,0.36044,21.409
-6.12,0.32481,23.172
-5.2814,0.27693,25.438
-4.8022,0.26048,21.815
-7.0848,0.50814,26.392
-6.7204,0.36382,22.455
-5.2915,0.24358,22.272
-6.2609,0.2996,22.566
-5.8736,0.36771,23.441
-4.8996,0.19125,21.054
-4.8579,0.28147,21.591
-3.5139,0.26295,17.608
-5.1104,0.27194,24.035
-4.3122,0.17314,23.584
-2.5164,0.17829,17.54
-5.5445,0.32485,22.513
-4.3782,0.27562,20.865
-5.2284,0.29748,20.946
-5.2151,0.43925,20.141
-4.4406,0.1784,18.226
-3.3794,0.19309,18.705
-3.9885,0.23591,19.745
-4.9867,0.37306,23.835
-5.3845,0.43168,24.15
-4.4462,0.60245,19.008
-6.3586,0.48354,20.267
-2.8485,0.49963,19.288
-5.0928,0.33252,20.323
-4.6258,0.29838,20.121
-6.6975,0.28688,22.298
-4.3904,0.31417,22.504
-4.4937,0.19292,21.183
-7.2651,0.21884,21.81
-4.7219,0.31748,19.834
-4.5245,0.19727,19.884
-3.4188,0.16227,17.318
-4.1855,0.18159,19.377
-4.3615,0.2911,22.978
-4.2398,0.3066,19.803
-5.9919,0.19073,23.168
-4.9245,0.19619,19.759
-6.0304,0.24877,19.4
-4.9451,0.29855,21.783
-4.3387,0.17377,22.366
-4.9158,0.26446,19.424
-6.8759,0.28575,24.566
-4.665,0.33945,19.81
-3.0909,0.2606,18.155
-3.6254,0.21719,19.077
